iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
40,-433.683199,-620.7192616,-0.359306149,-0.084110328,-0.001434473,-0.145153143,-0.036428321,-0.000559075,-0.179799122,-0.34369657,-0.028108221
41,-159.0372141,-442.6512067,-0.370016464,-0.096370938,-0.001628344,-0.139971323,-0.041434026,-0.000506613,-0.170284,-197.6223929,-0.033345919
42,-343.9898073,-402.4957089,-0.284382056,-0.072092727,-0.002390938,-0.114809927,-0.030812739,-0.00039043,-0.14043053,-2.565895163,-0.029402207
43,-202.5919099,-386.0584043,-0.299943459,-0.071490106,-0.001127806,-0.120392669,-0.030401486,-0.000514468,-0.14966073,-149.5396246,-0.031765964
44,-443.4799753,-403.8821139,-0.336608793,-0.087338295,-0.00144256,-0.137776566,-0.037111433,-0.000480631,-0.167516739,-0.27565325,-0.035054272
45,-144.5253485,-505.9253822,-0.430418546,-0.112108841,-0.00250857,-0.15711114,-0.050667878,-0.000688345,-0.213209848,-221.2990165,-0.049374969
46,-184.1378397,-475.1763645,-0.261078934,-0.064668501,-0.009320802,-0.098228373,-0.027720555,-0.000279884,-0.121609557,-143.7740081,-0.022536208
47,-176.652079,-598.5593406,-0.303444963,-0.069763159,-0.001044547,-0.115938296,-0.029981238,-0.000453504,-0.137556584,-205.2078979,-0.026069028
48,-362.5511058,-408.7001546,-0.282844316,-0.075046976,-0.006001612,-0.133043607,-0.031039616,-0.000369366,-0.136060231,-0.282459147,-0.022013026
49,-196.0694812,-472.5225,-0.257605255,-0.058073192,-0.000909889,-0.102784656,-0.024502898,-0.000475171,-0.135587487,-194.3408206,-0.023134785
50,-451.0678974,-462.5414734,-0.347622107,-0.078662905,-0.001256955,-0.157252963,-0.03196683,-0.00051732,-0.190063287,-0.328138912,-0.023258021
51,-390.0239167,-564.2122572,-0.27572729,-0.069632448,-0.001176514,-0.112584255,-0.030422668,-0.000470809,-0.146929083,-0.717959024,-0.031153128
52,-409.7749192,-582.255169,-0.377327737,-0.094272835,-0.001582652,-0.166012047,-0.039492558,-0.000499724,-0.194630692,-1.072650655,-0.032828414
53,-311.8428342,-421.043253,-0.293688946,-0.07203461,-0.001091149,-0.124442943,-0.030228426,-0.000547334,-0.177174627,-0.497993083,-0.026382058
54,-125.5442188,-424.7788781,-0.338212461,-0.082250337,-0.001409402,-0.127658589,-0.035638534,-0.000632717,-0.162779694,-201.7357335,-0.031665956
55,-187.4058478,-597.5300289,-0.288635932,-0.066217502,-0.001155811,-0.107741706,-0.028240329,-0.000539969,-0.150508682,-231.7880924,-0.032794996
